Preferred Pos,Count,Quarterly Revenue
Alpine Ave. Grand Rapids,29415,15407462
Evansville IN,38774,9053078
Rochester Road- Rochester Hills,30850,12122863
Franklin IN,23962,9009904
Marion OH,23318,9562209
Sussex WI,21925,6650709
E. Wilder Rd. - Bay City,25445,15451823
Madison Heights,29416,10928699
Wauwatosa WI,34013,5387843
Michigan Ave. - Jackson,30221,17482828
Sturgis MI,18649,9566751
Grove City,30496,11484087
Gaylord,24246,11102215
Solon Township,20702,16616551
Walker C-Store,5289,884373
Champaign,39329,9357916
Marburg Ave Cincinnati OH,29010,5124220
Wilmington Pike - Kettering,35541,12373557
Escanaba MI,21581,9808554
Demille Rd. - Lapeer,26713,16438866
Man-O-War Blvd. - Lexington,42367,9713183
East Us 223 - Adrian,28166,15144367
Houston Road- Florence KY,32521,5959936
Huber Heights,26111,10466987
College Ave- Normal,36264,10015728
M-55 - West Branch MI,18473,5744588
Nobelsville - IN,36492,16358437
Oswego,31259,11856653
W Eight Mile Rd-Detroit,44535,8250912
Lowell,16369,15221897
Fort St. - Southgate,23472,14664281
Manitowoc WI,17481,5511382
Auburn Hills MI,35062,11614452
Hilliard Road - Columbus,38978,10595995
Hudsonville MI,19816,16054863
Belleville Road- Vanburen Township,29874,15591145
Fremont MI,16735,10714911
Schoenherr Rd / Ten Mile Rd - Warren MI,31485,9437590
Lima Road - Fort Wayne,33319,10812188
Haggerty Rd. - Northville,41547,13187665
Fields Ertel Road -Loveland OH,29883,7873228
Bloomingdale - IL,30892,8191061
E. 28Th Street - Cascade,40966,19761210
Livonia,35826,11497248
Vandyke Road - Sterling Heights,27793,11105536
W. Hill Road - Flint,32087,14783652
Mentor OH,34615,9885606
W. Carmel Dr. - Carmel,41705,14350868
West Lafayette IN,35850,11122739
Sycamore IL,26124,8513176
Canal Winchester,31619,12083812
16Th St. - Holland,36065,20079619
Flat Rock MI,18597,14128858
Norton Shores,27686,14936821
Scio Twp,31515,15296500
Clinton Twp,26650,12986322
N. Hamilton - Columbus,37916,10876824
Westnedge- Kalamazoo,30717,12862667
Whitestown,30719,12991090
Manistee MI,17236,12348045
Algoma Twp,25473,23837613
Hall Road - Shelby Township,34552,12455304
Cold Spring KY,20180,6312158
Bolingbrook,32264,9168799
Grape Road - Mishawaka,33715,10421179
Aurora IL,39556,8776528
Oak Creek WI,31308,7114008
Merrillville IN,45055,10439814
DeWitt,19423,17544250
Utica Road - Fraser,28064,14665017
Maysville Road - Fort Wayne,30567,14419845
Westfield IN,27047,11513773
West Bend WI,23345,9075245
Mokena IL,27706,10968191
East 96Th- Geist IN,33733,10656890
Marysville,26690,17295282
West Main St. - Troy,25594,8963927
Pike Plaza Road - Indianapolis,37650,7336771
Gratiot - Saginaw,20391,16310506
Lake Lansing Rd. - E. Lansing,33393,15427135
Cadillac,24538,14092174
Conant St. - Maumee,30962,12260718
Capital City Market,4778,1142906
Southport Road - Indianapolis,39816,13322533
Beckley Rd - Battle Creek,25269,15981997
White Lake Twp,20770,12276197
S Harvey St,27281,18667724
Warsaw,27143,10674580
Illinois Road - Fort Wayne,31708,11722482
Valparaiso IN,31978,13670060
W. Central - Sylvania,35076,13433972
Scatterfield Road - Anderson,30410,11545002
Defiance OH,19693,8471762
Port Huron,27626,12053043
Rossford - OH,23363,11179400
Boardman OH,34575,8654620
Gaines Twp,32169,21865171
Three Rivers,19522,11753935
E. Washington St. - Indianapolis,32717,12053499
Portage,35057,13467849
Rockville Road - Indianapolis,34283,9980340
Petoskey,28050,13044637
Angola IN,21994,9529401
Plainfield IL,30187,11776427
Telegraph Rd. - Monroe,27196,15458048
Evergreen Park,35526,4919270
Airport Rd. - Jackson,30247,16950269
Charlotte MI,17304,12464765
Davison,24551,15103680
Orland Park,21032,5273036
Brimfield Twp OH,32210,8927903
Marlin Drive - Greenwood,29852,11765531
Cassopolis St - Elkhart IN,14184,6681963
Mooresville,25822,10815982
Hillcrest Ave. - Springfield OH,26284,9902690
Ionia,17024,13017346
East Dupont Rd - Fort Wayne IN,22185,9295319
Center Rd - Brunswick OH,25844,6710532
Bridge Street Market,8948,2855955
Colerain Twp,18433,6619405
Pardee Rd. - Taylor,30643,12712448
Delaware,25344,10527370
Sault Ste Marie MI,21576,9901214
28th St / Kalamazoo Ave - Grand Rapids,34075,10790503
Southfield,38917,8000847
Grand River Ave Detroit MI,35976,6983156
Tiffin Rd. - Findlay,25607,11416018
S. Gilmore Road - Fairfield OH,31506,9359538
State St. - Owosso,19312,12214311
Caledonia MI,4119,516485
Rivertown Market,9622,1842536
Saline Road - Ann Arbor,40619,13910630
Swartz Creek,20922,13266035
Kenosha WI,33592,9419103
Sr32 - Eastgate Union Township OH,30874,7922550
Pipestone Rd. - Benton Harbor,26089,10737260
Marquette MI,29259,11103432
W. Grand River -Okemos,34097,16190663
Coolidge Highway -Royal Oak,35607,13310939
Big Rapids,25537,13559306
Maple Grove Rd. – Westfield IN,1245,104486
Boughton Rd. - Bolingbrook IL,33786,7776768
Bradley IL,37088,12064938
Bad Axe MI,14245,6973029
Lincoln Township,31791,18924543
Homer Glen IL,25688,10383153
Grandville,24397,15960358
Warren Rd. - Westland,36832,14768093
Urbana,25608,8890776
Ford Rd. - Canton,32613,15070750
South Haven MI,24713,9673233
Allen Road - Woodhaven,23350,15958404
West Chester OH,30309,8828619
Holton Road - North Muskegon,24057,17737550
Greenville,24031,18534363
Bath Township,15531,12811596
Rolling Meadows - IL,35183,6923078
Elkhart Rd. - Goshen,28882,10615401
Macomb MI Grocery,8813,3932238
Ease Pharmacy #465,677,42814
Milan Rd. - Sandusky,27219,8727822
23 Mile Road - Chesterfield,26149,11737574
Mason MI,19364,16483352
Haggerty Road - Commerce Township,31553,10783984
Keystone Ave-Indianapolis IN,43400,9421556
S. Wheeling - Oregon,26420,13773325
Reynolds Rd.-Lexington,31170,5993101
S Adams Rd - Rochester Hills,24540,9691583
Chester Blvd. - Richmond IN,27123,9740391
Seven Hills OH,34366,8122532
Holland Twp,29729,16667763
Hampton Twp MI,17170,12214479
McCordsville IN,34970,15740249
Owensboro KY,27750,7183508
Danville,25822,10257972
N. Lexington/Springmill Rd. - Mansfield,35061,12492102
North High St.- Orange Township,28924,9355974
Sr28- Miami Township,27041,9537896
Avon OH,34236,8156423
Stockbridge Ease Express,2569,201639
Bowling Green Ohio,23780,6453789
Thrifty Outlet,943,217988
Howard WI,33525,7737701
Round Lake Beach IL,36944,9949739
Portage Road - South Bend,32702,11548610
Lorain OH,30402,8922291
Machesney Park IL,31283,11045783
Clyde Park - Wyoming,33307,15911499
Pickard St. - Mt. Pleasant,34981,17119903
W. Mcgalliard Rd. - Muncie,31359,13251503
Flossmoor IL,36063,7396564
Howell,26563,17269717
Preston Highway- Louisville,28459,7285442
Columbus-Lancaster Rd. - Lancaster,25111,9479412
S. Center Rd. -Burton,25790,9769888
Baldwin Ave. - Jenison,26727,19674940
Plainfield IN,26464,10509568
W. Saginaw Highway- Lansing,27507,13726352
Birch Run Twp,24785,14067190
E. Markland Ave. - Kokomo,31469,13050329
Marion IN,25389,10598133
Main Street - Hamilton,21382,8522096
Dixie Highway - Louisville Ease,27969,6975291
Carpenter Rd. - Ypsilanti,46236,14166468
Richmond,36121,11088398
Sr 26 - Lafayette,38466,10913522
Greenfield WI,36774,9560605
Fulton Dr - Canton OH,31124,6390407
Elgin IL,30934,9086877
S Pennsylvania Ave - Lansing,35204,16056700
Westport Road - Louisville,30422,5889182
Rockford IL,34291,9065439
Columbia Ave W - Battle Creek,27078,14298528
Michigan City IN,30913,10859510
McHenry IL,29851,11188476
New Albany,33325,10672326
Plainfield Ave - Grand Rapids MI,21961,15802110
Towne Road - Middletown,22529,7373074
Ludington MI,21765,11866258
Waukesha WI,22272,5906162
Marysville OH,20233,8878090
Sheboygan WI,27738,7405185
Algonquin,27505,8598550
Brighton MI,25605,13065095
Acme Township,22611,12600307
W. Main St. - Oshtemo,37993,17603934
Lenox Twp,19837,11776188
Gull Road- Kalamazoo,27287,17441492
Grand River Ave. - Wixom,26315,10622935
Titabawasee Rd. - Saginaw,29466,14286243
S. Us 31 - Traverse City,45157,22134564
S. Bremen Highway - Mishawaka,30043,12800119
Hurstbourne Parkway - Louisville,33903,8433857
Eastman Ave. - Midland,34506,20237268
Harrison Rd OH,30966,8988174
Grandville C-Store,1839,187103
Alma MI,17810,12331615
Highland IN,44705,12304409
Coldwater,20110,11499308
St. Charles IL,36274,12199852
Terre Haute IN,28658,8370925
Sawmill Road - Columbus,35552,8778656
U.S. 31 - Grand Haven,24534,18516454
Springboro Pike - Dayton,25416,7196937
Washington Twp MI,27682,13661446
Elida Road - Lima,32995,12869766
Grafton WI,25303,8340496
Allison Ln.- Jeffersonville IN,27756,7039648
Westerville OH,32890,14236082
Lincoln Park,26414,13694905
Allen Park,37913,10274836
North Main- Englewood,39427,11077599
"Knapp's Corner - Grand Rapids",41928,24411123
E. Broad St. - Columbus OH,36075,10526075
Beavercreek - Dayton,36435,7464566
Stow OH,31546,8814093
Mound Rd - Warren MI,26202,9132535
Standale,38142,20771923
Alpena MI,21783,12453051
Oxford Twp,20972,14529912
Bowling Green KY,29470,7725317
Highland Road- Waterford,31430,14477161
Lake Orion MI Grocery,8772,4610159
Niles Cortland Rd - Warren OH,17574,5228023
Woodward Corner Market,10472,2688451
Portage,23851,17032886
Plainwell MI,21709,14059405
Little Mack - Roseville,36913,13190575
E. Alexis Road - Toledo,31190,10519294
Hartland Township,16723,12710869
Burbank Rd - Wooster OH,13836,4876548
Grand Ledge,18218,16774508
Grand Chute WI,32713,8641977
Springfield IL,37465,10747928
